GKZ,Gebietsname,Hofer,Van der Bellen
,,,
G00000,Österreich,2.124.661,2.472.892
G00099,Wahlkarten - Österreich,196.454,409.648
G10000,Burgenland,102.147,73.581
G10099,Wahlkarten - Burgenland,7.263,9.185
G20000,Kärnten,167.425,139.276
G20099,Wahlkarten - Kärnten,13.297,20.865
G30000,Niederösterreich,485.874,498.849
G30099,Wahlkarten - Niederösterreich,36.802,63.545
G40000,Oberösterreich,356.619,440.631
G40099,Wahlkarten - Oberösterreich,34.491,72.640
G50000,Salzburg,135.483,146.616
G50099,Wahlkarten - Salzburg,10.256,22.441
G60000,Steiermark,363.778,325.960
G60099,Wahlkarten - Steiermark,38.790,61.098
G70000,Tirol,166.650,201.160
G70099,Wahlkarten - Tirol,12.372,30.008
G80000,Vorarlberg,67.791,113.122
G80099,Wahlkarten - Vorarlberg,6.702,19.781
G90000,Wien,278.894,533.697
G90099,Wahlkarten - Wien,36.481,110.085
